timestamp,day_of_year,minute_of_day,location_index,original_address,demand,order_id
1725369180,247,1123,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6146873330
1725369840,247,1134,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6147490470
1725370800,247,1150,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",2,6147360368
1725370920,247,1152,3,"Aura Pizzas, Sector 4, Delhi NCR",2,6145787781
1725370920,247,1152,21,"Swaad, Sector 4, Delhi NCR",3,6145238773
1725371400,247,1160,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6144644656
1725372600,247,1180,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6148327471
1725373020,247,1187,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6148181140
1725373140,247,1189,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",4,6147153950
1725373260,247,1191,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",2,6145643385
1725373860,247,1201,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",1,6145134943
1725374340,247,1209,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6148304949
1725374940,247,1219,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",3,6149292474
1725375060,247,1221,19,"Swaad, Greater Kailash 2 (GK2), Delhi NCR",1,6139066441
1725375180,247,1223,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6144878881
1725375480,247,1228,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",4,6130548562
1725375780,247,1233,2,"Aura Pizzas, Sector 135, Delhi NCR",4,6138896835
1725375960,247,1236,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6148792325
1725376140,247,1239,2,"Aura Pizzas, Sector 135, Delhi NCR",3,6146179179
1725376440,247,1244,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",1,6142768157
1725376500,247,1245,21,"Swaad, Sector 4, Delhi NCR",1,6141943607
1725376680,247,1248,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6148828514
1725376740,247,1249,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",1,6136829571
1725376800,247,1250,2,"Aura Pizzas, Sector 135, Delhi NCR",1,6149581007
1725376860,247,1251,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6146257055
1725377040,247,1254,3,"Aura Pizzas, Sector 4, Delhi NCR",1,6147138093
1725377400,247,1260,4,"Aura Pizzas, Vasant Kunj, Delhi NCR",1,6149821125
1725377700,247,1265,2,"Aura Pizzas, Sector 135, Delhi NCR",2,6142570833
1725377940,247,1269,21,"Swaad, Sector 4, Delhi NCR",1,6137428219
1725378000,247,1270,21,"Swaad, Sector 4, Delhi NCR",1,6144643572
1725378000,247,1270,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",4,6144237051
1725378540,247,1279,1,"Aura Pizzas, Greater Kailash 2 (GK2), Delhi NCR",1,6148701495
1725378660,247,1281,0,"Aura Pizzas, DLF Phase 1, Delhi NCR",3,6149330523
